Date,Open,High,Low,Close,Volume,Adj Close
2003-04-03,25.99,26.09,25.60,25.73,57394300,19.00
2003-04-02,25.10,26.00,25.10,25.72,68282500,19.00
2003-04-01,24.46,24.70,24.25,24.35,49803200,17.99
2003-03-31,24.25,24.71,24.01,24.21,71384000,17.88
2003-03-28,24.67,25.10,24.60,24.67,39584600,18.22
2003-03-27,24.94,25.26,24.59,25.04,60043300,18.49
2003-03-26,25.46,25.62,25.24,25.25,51673600,18.65
2003-03-25,25.60,25.75,25.03,25.49,63595100,18.83
2003-03-24,25.55,25.93,25.18,25.29,61105200,18.68
2003-03-21,26.75,26.80,26.03,26.57,85586800,19.63
2003-03-20,26.02,26.52,25.67,26.25,71798500,19.39
2003-03-19,25.98,26.43,25.74,26.32,73652100,19.44
2003-03-18,25.89,26.04,25.50,26.04,78108800,19.23
2003-03-17,24.52,25.95,24.33,25.93,100983800,19.15
2003-03-14,24.68,24.96,24.26,24.86,75451400,18.36
2003-03-13,23.72,24.74,23.44,24.67,80701300,18.22
2003-03-12,22.81,23.44,22.55,23.39,72379500,17.28
2003-03-11,23.06,23.26,22.76,22.80,53990700,16.84
2003-03-10,23.31,23.46,22.89,22.95,48413600,16.95
2003-03-07,22.95,23.79,22.90,23.56,66167600,17.40
2003-03-06,23.17,23.50,23.13,23.27,54607600,17.19
2003-03-05,23.07,23.55,23.05,23.44,55415900,17.31
2003-03-04,23.58,23.66,23.06,23.07,56605700,17.04
2003-03-03,24.02,24.12,23.40,23.54,50653500,17.39
2003-02-28,23.74,24.07,23.55,23.70,56585400,17.51
2003-02-27,23.90,24.21,23.30,23.58,75434300,17.42
2003-02-26,24.07,24.47,23.58,23.61,57096000,17.44
2003-02-25,23.54,24.27,23.38,24.19,68113000,17.87
2003-02-24,24.44,24.50,23.84,24.07,62403700,17.78
2003-02-21,24.29,24.80,23.70,24.63,56853200,18.19
2003-02-20,24.77,24.87,24.10,24.14,50897200,17.83
2003-02-19,24.82,24.88,24.17,24.53,46902700,18.12
2003-02-18,24.62,24.99,24.40,24.96,57415500,18.38
2003-02-14,47.25,48.50,46.77,48.30,90446400,17.78
2003-02-13,46.41,47.12,46.13,46.99,73558200,17.30
2003-02-12,46.55,47.10,46.26,46.44,71315200,17.10
2003-02-11,47.30,47.67,46.00,46.44,84292000,17.10
2003-02-10,46.80,47.52,46.54,47.38,74081400,17.44
2003-02-07,47.88,47.95,46.41,46.58,75208000,17.15
2003-02-06,46.86,47.62,46.56,47.42,83312000,17.46
2003-02-05,47.83,48.53,46.73,46.96,101072000,17.29
2003-02-04,47.80,47.94,46.88,47.32,81854800,17.42
2003-02-03,47.93,49.10,47.46,48.56,80129800,17.88
2003-01-31,47.45,48.35,47.03,47.46,106858400,17.47
2003-01-30,50.16,50.17,48.19,48.24,87877400,17.76
2003-01-29,48.73,50.04,47.93,49.91,106884000,18.37
2003-01-28,49.69,49.70,48.56,48.82,86151200,17.97
2003-01-27,49.32,50.60,48.41,49.17,114838600,18.10
2003-01-24,52.03,52.05,49.70,49.85,103027000,18.35
2003-01-23,51.95,52.54,51.46,52.28,71374800,19.25
2003-01-22,51.59,52.40,50.91,51.00,86948000,18.77
2003-01-21,51.87,52.15,51.29,51.33,86159200,18.90
2003-01-17,52.94,53.00,51.31,51.46,155876000,18.94
2003-01-16,56.32,56.65,55.11,55.35,81371000,20.38
2003-01-15,57.00,57.32,56.19,56.27,59622600,20.71
2003-01-14,56.33,57.00,56.19,56.97,54206400,20.97
2003-01-13,56.52,56.75,55.77,56.39,60817800,20.76
2003-01-10,55.10,56.30,54.90,55.92,67730200,20.59
2003-01-09,54.72,55.92,54.53,55.81,61808000,20.55
2003-01-08,55.37,55.55,54.11,54.24,64566000,19.97
2003-01-07,54.92,56.01,54.68,55.80,80517400,20.54
2003-01-06,54.02,55.23,53.80,54.77,59456200,20.16
2003-01-03,53.59,53.80,52.88,53.79,55546800,19.80
2003-01-02,52.30,53.75,51.71,53.72,67025200,19.78
2002-12-31,52.74,52.99,51.26,51.70,58208800,19.03
2002-12-30,53.01,53.24,52.27,52.75,48019600,19.42
2002-12-27,53.28,54.00,52.90,52.97,40891600,19.50
2002-12-26,54.03,54.69,53.17,53.39,37228000,19.65
2002-12-24,53.54,54.23,53.52,53.82,18386000,19.81
2002-12-23,53.05,54.28,52.90,54.00,48798400,19.88
2002-12-20,53.49,53.72,52.95,53.04,98294600,19.53
2002-12-19,53.25,54.75,52.88,53.11,82686600,19.55
2002-12-18,53.84,54.40,52.79,53.53,62709400,19.71
2002-12-17,54.42,54.99,53.78,54.36,49549800,20.01
2002-12-16,53.00,54.55,52.67,54.48,60140400,20.06
2002-12-13,53.68,53.75,52.49,52.50,65245400,19.33
2002-12-12,55.00,55.06,53.69,54.17,55242000,19.94
2002-12-11,53.85,55.01,53.58,54.66,69186200,20.12
2002-12-10,53.56,54.48,53.48,54.01,63730200,19.88
2002-12-09,55.00,55.22,53.51,53.53,63862800,19.71
2002-12-06,54.87,55.74,54.22,55.47,71670200,20.42
2002-12-05,56.95,57.09,55.30,55.34,68435800,20.37
2002-12-04,56.13,57.44,55.82,56.54,83892000,20.81
2002-12-03,57.28,57.35,56.41,56.71,58457400,20.88
2002-12-02,58.65,58.96,57.01,57.69,63735000,21.24
2002-11-29,58.43,58.63,57.68,57.68,28393000,21.23
2002-11-27,57.60,58.61,57.40,58.08,55191800,21.38
2002-11-26,57.64,58.25,56.78,56.90,68650400,20.95
2002-11-25,58.06,58.64,57.57,58.23,61583000,21.44
2002-11-22,57.45,58.30,57.05,58.22,70002000,21.43
2002-11-21,56.98,58.00,56.78,57.84,82922200,21.29
2002-11-20,55.01,56.90,54.93,56.62,76435400,20.84
2002-11-19,55.55,55.80,54.31,54.86,76403400,20.20
2002-11-18,56.95,57.03,55.74,55.85,58086400,20.56
2002-11-15,56.60,56.92,55.67,56.69,77533600,20.87
2002-11-14,55.99,57.00,55.87,56.99,78337000,20.98
2002-11-13,54.24,55.93,54.11,55.36,107370200,20.38
2002-11-12,54.10,55.43,53.90,54.51,81398600,20.07
2002-11-11,55.07,55.10,53.82,53.86,58341200,19.83
2002-11-08,56.00,56.55,55.01,55.10,64522200,20.28
2002-11-07,56.20,56.62,55.50,56.01,73699600,20.62
2002-11-06,56.99,57.10,55.53,57.03,115407000,20.99
2002-11-05,55.78,56.80,55.58,56.68,76658200,20.87
2002-11-04,56.75,57.25,55.52,56.10,139964200,20.65
2002-11-01,52.43,53.24,51.90,53.00,105097800,19.51
2002-10-31,53.19,54.07,52.85,53.47,105973800,19.68
2002-10-30,52.20,53.39,51.63,53.11,94451200,19.55
2002-10-29,52.15,52.49,50.85,52.07,90517200,19.17
2002-10-28,53.40,53.50,51.51,51.95,79906600,19.12
2002-10-25,51.25,52.80,51.16,52.68,75425800,19.39
2002-10-24,53.36,53.37,50.90,51.23,95833400,18.86
2002-10-23,51.43,53.26,51.43,53.20,110866600,19.58
2002-10-22,51.43,51.93,51.03,51.67,87159000,19.02
2002-10-21,51.97,52.99,51.36,52.51,112378600,19.33
2002-10-18,52.60,53.20,51.14,53.15,152817200,19.57
2002-10-17,52.28,52.50,50.05,50.77,182602400,18.69
2002-10-16,50.39,51.26,50.28,50.41,95437400,18.56
2002-10-15,51.26,52.37,50.65,52.29,133374200,19.25
2002-10-14,48.25,49.33,47.84,49.29,76216200,18.14
2002-10-11,47.36,48.90,47.01,48.87,108828800,17.99
2002-10-10,44.00,46.62,43.25,46.38,118515000,17.07
2002-10-09,44.23,45.45,43.81,43.99,123142600,16.19
2002-10-08,44.75,45.98,44.13,44.99,115667600,16.56
2002-10-07,43.81,45.06,43.69,44.05,89790000,16.22
2002-10-04,45.39,45.57,43.69,43.77,107120400,16.11
2002-10-03,45.30,46.59,44.60,44.80,105221400,16.49
2002-10-02,46.10,46.81,45.16,45.61,103488600,16.79
2002-10-01,44.32,46.25,43.19,46.23,110636600,17.02
2002-09-30,44.87,45.04,43.11,43.74,115577000,16.10
2002-09-27,46.04,47.10,45.19,45.25,81011600,16.66
2002-09-26,47.11,47.50,45.95,46.20,100852200,17.01
2002-09-25,46.40,46.96,45.05,46.51,107116600,17.12
2002-09-24,44.83,46.48,44.63,45.64,104142200,16.80
2002-09-23,46.60,46.71,44.81,45.23,89783800,16.65
2002-09-20,47.71,48.00,47.30,47.46,130619200,17.47
2002-09-19,46.68,47.82,46.59,47.20,77777600,17.38
2002-09-18,46.72,48.24,46.66,47.75,83951800,17.58
2002-09-17,48.67,48.90,47.21,47.29,73343400,17.41
2002-09-16,47.60,48.13,47.05,47.78,50166200,17.59
2002-09-13,46.90,48.26,46.85,47.91,59549200,17.64
2002-09-12,48.15,48.30,47.02,47.15,63726800,17.36
2002-09-11,50.23,51.10,48.53,48.58,77443200,17.88
2002-09-10,48.54,49.82,48.35,49.79,83950000,18.33
2002-09-09,47.25,48.95,46.63,48.70,81653200,17.93
2002-09-06,47.75,48.27,47.47,47.82,69918400,17.60
2002-09-05,47.50,47.52,45.88,45.91,90438800,16.90
2002-09-04,47.45,48.60,47.15,48.21,80232000,17.75
2002-09-03,48.52,48.52,47.00,47.02,74452600,17.31
2002-08-30,50.14,50.48,49.00,49.08,58138400,18.07
2002-08-29,48.89,51.00,48.52,50.58,94275600,18.62
2002-08-28,50.48,50.66,49.30,49.38,68875000,18.18
2002-08-27,52.33,52.45,50.65,50.84,65470200,18.72
2002-08-26,52.50,52.65,51.18,52.10,55652400,19.18
