Date,Open,High,Low,Close,Volume,Adj Close
2003-04-03,880.90,885.89,876.12,876.45,1339500000,876.45
2003-04-02,858.48,884.57,858.48,880.90,1589800000,880.90
2003-04-01,848.18,861.28,847.85,858.48,1461600000,858.48
2003-03-31,863.50,863.50,843.68,848.18,1495500000,848.18
2003-03-28,868.52,869.88,860.83,863.50,1227000000,863.50
2003-03-27,869.95,874.15,858.09,868.52,1232900000,868.52
2003-03-26,874.74,875.80,866.47,869.95,1319700000,869.95
2003-03-25,864.23,879.87,862.59,874.74,1333400000,874.74
2003-03-24,895.79,895.79,862.02,864.23,1293000000,864.23
2003-03-21,875.84,895.90,875.84,895.79,1883710000,895.79
2003-03-20,874.02,879.60,859.01,875.67,1439100000,875.67
2003-03-19,866.45,874.99,861.21,874.02,1473400000,874.02
2003-03-18,862.79,866.94,857.36,866.45,1555100000,866.45
2003-03-17,833.27,862.79,827.17,862.79,1700420000,862.79
2003-03-14,831.89,841.39,828.26,833.27,1541900000,833.27
2003-03-13,804.19,832.02,804.19,831.90,1816300000,831.90
2003-03-12,800.73,804.19,788.90,804.19,1620000000,804.19
2003-03-11,807.48,814.25,800.30,800.73,1427700000,800.73
2003-03-10,828.89,828.89,806.57,807.48,1255000000,807.48
2003-03-07,822.10,829.55,811.23,828.89,1368500000,828.89
2003-03-06,829.85,829.85,819.85,822.10,1299200000,822.10
2003-03-05,821.99,829.87,819.00,829.85,1332700000,829.85
2003-03-04,834.81,835.43,821.96,821.99,1256600000,821.99
2003-03-03,841.15,852.34,832.74,834.81,1208900000,834.81
2003-02-28,837.28,847.00,837.28,841.15,1373300000,841.15
2003-02-27,827.55,842.19,827.55,837.28,1287800000,837.28
2003-02-26,838.57,840.10,826.68,827.55,1374400000,827.55
2003-02-25,832.58,839.55,818.54,838.57,1483700000,838.57
2003-02-24,848.17,848.17,832.16,832.58,1229200000,832.58
2003-02-21,837.10,852.28,831.48,848.17,1398200000,848.17
2003-02-20,845.13,849.37,836.56,837.10,1194100000,837.10
2003-02-19,851.17,851.17,838.79,845.13,1075600000,845.13
2003-02-18,834.89,852.87,834.89,851.17,1250800000,851.17
2003-02-14,817.37,834.89,815.03,834.89,1404600000,834.89
2003-02-13,818.68,821.25,806.29,817.37,1489300000,817.37
2003-02-12,829.20,832.12,818.49,818.68,1260500000,818.68
2003-02-11,835.97,843.02,825.09,829.20,1307000000,829.20
2003-02-10,829.69,837.16,823.53,835.97,1238200000,835.97
2003-02-07,838.15,845.73,826.70,829.69,1276800000,829.69
